bar_code,EPA_Reg_ID,product_name,sds,Active Ingredient(s),EPA Registered Product Name,Company,Follow the disinfection directions and preparation for the following virus,Contact Time (in minutes),Formulation Type,Surface Types for Use,Use Site,Emerging Viral Pathogen Claim?,Date Added to List N
022798710008,34810-35,hōm® Everyday Cleaner Green Tea Citrus,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5e004760faa1a99f5884d4c5/sds20191223-40792-12x5chz.pdf,Citric acid,Cleancide,Wexford Labs Inc,Feline calicivirus,5,RTU,Hard nonporous,Healthcare; Institutional,Yes,4/9/2020
022798710107,34810-35,hōm® Everyday Cleaner Lavender Vanilla,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cd463e9b584ce0015ca129d/sds20190509-21-qf3up3.pdf,Citric acid,Cleancide,Wexford Labs Inc,Feline calicivirus,5,RTU,Hard nonporous,Healthcare; Institutional,Yes,4/9/2020
022798710206,34810-35,hōm® Everyday Cleaner Cotton Breeze,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cd463e92d44746f96643e37/sds20190509-28566-1egoka8.pdf,Citric acid,Cleancide,Wexford Labs Inc,Feline calicivirus,5,RTU,Hard nonporous,Healthcare; Institutional,Yes,4/9/2020
10025469665215,1130-15,Ecolab Asepticare Tb+ii Quat Ammonium 12-32oz,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5cc2d7f0e69cc4001662833c/sds20190426-22-1x8wxdt.pdf,Quaternary ammonium; Isopropanol,Weiman Germicidal Solution,Weiman Products LLC,Rotavirus,3,RTU,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/19/2020
037000486268,4091-20,Microban 24 HOUR Sanitizing Spray - Citrus Scent,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5e001cdf97b2248ae4aff352/sds20191223-35556-pqb9wa.pdf,Quaternary ammonium,Phoenix 2,W.M. Barr & Company Inc,Rotavirus; Feline calicivirus; Rhinovirus,5,RTU,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/26/2020
037000486657,4091-20,Microban 24 HOUR Sanitizing Spray - Fresh Scent,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5e001cae2b5a531bc451078e/sds20191223-7108-wg3r8v.pdf,Quaternary ammonium,Phoenix 2,W.M. Barr & Company Inc,Rotavirus; Feline calicivirus; Rhinovirus,5,RTU,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/26/2020
037000486886,4091-20,Microban 24 HOUR Sanitizing Spray - Citrus Scent,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5e001cdf97b2248ae4aff352/sds20191223-35556-pqb9wa.pdf,Quaternary ammonium,Phoenix 2,W.M. Barr & Company Inc,Rotavirus; Feline calicivirus; Rhinovirus,5,RTU,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/26/2020
037000487746,4091-20,Microban 24 HOUR Sanitizing Spray - Fresh Scent,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5e001cae2b5a531bc451078e/sds20191223-7108-wg3r8v.pdf,Quaternary ammonium,Phoenix 2,W.M. Barr & Company Inc,Rotavirus; Feline calicivirus; Rhinovirus,5,RTU,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/26/2020
037000474159,4091-21,Microban 24 HOUR MPC Spray - Citrus Scent,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5e001cb8d8a9868fa7a0fcf8/sds20191223-36775-1ddwwyo.pdf,Quaternary ammonium,Condor 2,W.M. Barr & Company Inc,Rotavirus,5,RTU,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/3/2020
037000474173,4091-21,Microban 24 HOUR MPC Spray - Citrus Scent,https://s3.amazonaws.com/new-prod-ss-cloud-images/file/5e001cb8d8a9868fa7a0fcf8/sds20191223-36775-1ddwwyo.pdf,Quaternary ammonium,Condor 2,W.M. Barr & Company Inc,Rotavirus,5,RTU,Hard nonporous,Healthcare; Institutional; Residential,Yes,3/3/2020
